종목코드,종목명,시장,기준일,시가총액,종가,거래량,1개월(%),3개월(%),6개월(%),12개월(%)
005930,삼성전자,KOSPI,2026-07-06,1859116597344000,318000,23805229,-4.79,44.22,98.13,345.38
000660,SK하이닉스,KOSPI,2026-07-06,1669861641195000,2343000,4170155,-11.58,82.19,157.76,756.67
402340,SK스퀘어,KOSPI,2026-07-06,197277787070000,1495000,864911,-11.9,77.76,162.28,882.91
009150,삼성전기,KOSPI,2026-07-06,136540076288000,1828000,796561,-16.3,119.71,555.2,1129.32
005380,현대차,KOSPI,2026-07-06,102788398532000,502000,793947,1.41,-5.46,0.4,135.68
373220,LG에너지솔루션,KOSPI,2026-07-06,82953000000000,354500,330389,-2.07,-23.02,-10.93,-7.32
032830,삼성생명,KOSPI,2026-07-06,78700000000000,393500,271668,-1.87,57.72,108.98,212.55
028260,삼성물산,KOSPI,2026-07-06,72894327659500,449500,556041,-4.06,50.59,49.09,166.77
207940,삼성바이오로직스,KOSPI,2026-07-06,65038786155000,1405000,35577,1.01,-4.42,-19.48,-10.53
000270,기아,KOSPI,2026-07-06,62739368778600,160700,1610920,16.45,5.86,5.31,57.09
329180,HD현대중공업,KOSPI,2026-07-06,61192394175000,583000,217102,-1.52,-14.89,1.39,18.86
105560,KB금융,KOSPI,2026-07-06,60616133740600,170900,1018511,7.48,6.48,26.41,54.1
012450,한화에어로스페이스,KOSPI,2026-07-06,59761981759000,1159000,140971,16.48,-18.21,-10.85,16.37
034020,두산에너빌리티,KOSPI,2026-07-06,54767977983000,85500,2210209,-1.5,-32.73,-5.63,30.34
055550,신한지주,KOSPI,2026-07-06,51120274679700,107700,1420236,12.42,7.81,27.76,58.38
034730,SK,KOSPI,2026-07-06,48359302901000,667000,205147,-20.02,56.94,100.0,228.57
012330,현대모비스,KOSPI,2026-07-06,46727280245000,515000,392653,3.0,21.18,14.7,74.87
068270,셀트리온,KOSPI,2026-07-06,40906196885400,175900,494689,1.5,-7.96,-12.12,3.15
006400,삼성SDI,KOSPI,2026-07-06,36384366795000,451500,412053,-7.29,-35.04,15.77,124.63
042660,한화오션,KOSPI,2026-07-06,35574595043400,116100,5006929,15.75,-11.91,-16.17,3.38
086790,하나금융지주,KOSPI,2026-07-06,34241094950400,124800,585456,8.9,-2.42,24.68,46.14
267260,HD현대일렉트릭,KOSPI,2026-07-06,33487788415000,929000,120900,-4.42,-25.8,4.5,85.43
010120,LS ELECTRIC,KOSPI,2026-07-06,32775000000000,218500,784904,-8.19,-21.4,93.02,251.85
035420,NAVER,KOSPI,2026-07-06,30844115528800,196600,686793,-1.21,-6.82,-28.51,-16.34
066570,LG전자,KOSPI,2026-07-06,30247677276600,185700,1044645,-8.52,31.8,87.39,139.92
000810,삼성화재,KOSPI,2026-07-06,30092396802000,674000,93674,9.06,46.2,34.53,53.01
298040,효성중공업,KOSPI,2026-07-06,29064616116000,3117000,42086,-9.34,-20.32,19.75,154.24
009540,HD한국조선해양,KOSPI,2026-07-06,25832187340000,365000,156069,4.29,-20.91,-11.73,1.67
005490,POSCO홀딩스,KOSPI,2026-07-06,25476150930500,321500,205753,1.42,-30.41,-7.48,4.21
015760,한국전력,KOSPI,2026-07-06,25132893614550,39150,1537684,5.81,-10.1,-32.85,1.56
006800,미래에셋증권,KOSPI,2026-07-06,25040617880000,44750,3593325,4.68,-30.94,5.13,135.44
010130,고려아연,KOSPI,2026-07-06,23231614497000,1113000,13876,3.06,-29.51,-40.92,39.13
000150,두산,KOSPI,2026-07-06,22833307350000,1410000,57981,-5.18,-11.65,65.69,134.61
316140,우리금융지주,KOSPI,2026-07-06,22679993594300,31150,1683446,7.41,-6.6,2.98,26.11
042700,한미반도체,KOSPI,2026-07-06,21588213300000,226500,621690,-11.7,-38.45,7.35,146.46
064350,현대로템,KOSPI,2026-07-06,21359146740100,195700,505487,13.12,-27.11,-15.1,-3.12
010140,삼성중공업,KOSPI,2026-07-06,20856000000000,23700,3769248,1.72,-26.74,-19.52,24.47
011070,LG이노텍,KOSPI,2026-07-06,20235376485000,855000,201927,-12.84,49.21,248.98,446.33
051910,LG화학,KOSPI,2026-07-06,19518782839500,276500,157978,-1.25,-30.35,-10.95,-8.29
138040,메리츠금융지주,KOSPI,2026-07-06,18809833485200,112400,236473,6.44,0.63,-3.6,-2.94
017670,SK텔레콤,KOSPI,2026-07-06,18514902568600,86200,816843,-2.49,-9.36,18.9,53.65
011200,HMM,KOSPI,2026-07-06,18279951858600,19380,781207,4.14,-5.46,-3.1,-17.36
079550,LIG디펜스앤에어로스페이스,KOSPI,2026-07-06,17930000000000,815000,165511,13.35,-13.39,69.26,29.78
033780,KT&G,KOSPI,2026-07-06,17917684705600,172600,108331,1.71,-3.2,12.15,32.06
024110,기업은행,KOSPI,2026-07-06,16985171009700,21300,841884,7.04,-5.75,-3.84,9.68
267250,HD현대,KOSPI,2026-07-06,16509554765000,209000,84051,4.76,-32.69,-10.68,46.56
096770,SK이노베이션,KOSPI,2026-07-06,16313594042000,96500,232969,1.69,-33.99,-13.84,-10.57
